epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,221.498,1.52632,1.34231,1.21714,0.63641,0.69449,0.6674,0.35475,1.01975,0.88409,1.01424,0.00332569,0.00332569,0.00332569
2,429.586,1.45837,0.88984,1.15086,0.63255,0.69799,0.65265,0.34955,1.31626,2.08419,1.25129,0.00664019,0.00664019,0.00664019
3,634.028,1.4662,0.92798,1.16715,0.75195,0.55524,0.61287,0.33351,1.17085,1.52111,1.1178,0.00993583,0.00993583,0.00993583
4,837.499,1.48219,0.9227,1.17704,0.51903,0.50832,0.42894,0.21513,2.18065,2.87355,1.92904,0.00991514,0.00991514,0.00991514
5,1041,1.48092,0.87177,1.17457,0.73177,0.72498,0.68639,0.36124,1.15443,1.20545,1.1122,0.00988686,0.00988686,0.00988686
6,1243.68,1.44278,0.82374,1.17328,0.72376,0.7005,0.7264,0.38185,1.15808,0.91502,1.12274,0.00985857,0.00985857,0.00985857
7,1447.22,1.42799,0.80806,1.16187,0.79695,0.73487,0.72972,0.39476,1.05015,0.75623,1.05054,0.00983029,0.00983029,0.00983029
8,1649.85,1.41394,0.78031,1.16712,0.81544,0.75578,0.77188,0.42433,1.02939,0.73757,1.05357,0.009802,0.009802,0.009802
9,1853.36,1.4118,0.76428,1.16257,0.82942,0.73076,0.74442,0.41328,1.07846,0.83715,1.10375,0.00977371,0.00977371,0.00977371
10,2056.35,1.40238,0.75548,1.16392,0.66936,0.69526,0.68665,0.38444,1.15396,1.12904,1.15556,0.00974543,0.00974543,0.00974543
11,2259.27,1.39315,0.75639,1.16272,0.86818,0.73402,0.76867,0.43923,0.95703,0.62227,1.01712,0.00971714,0.00971714,0.00971714
12,2461.52,1.37771,0.74389,1.1606,0.84834,0.75862,0.78334,0.43513,0.97441,0.71662,1.02228,0.00968886,0.00968886,0.00968886
13,2665.44,1.37822,0.73221,1.15521,0.83605,0.7517,0.77799,0.44224,0.94902,0.59848,1.00852,0.00966057,0.00966057,0.00966057
14,2868.38,1.36047,0.72387,1.15283,0.85995,0.75414,0.79464,0.45143,0.93177,0.61377,1.00226,0.00963229,0.00963229,0.00963229
15,3071.89,1.37161,0.72264,1.15467,0.82148,0.75248,0.77671,0.434,0.93437,0.61317,1.0111,0.009604,0.009604,0.009604
16,3275.55,1.35315,0.72849,1.15189,0.82027,0.75506,0.75131,0.43285,0.9211,0.63948,1.00551,0.00957571,0.00957571,0.00957571
17,3477.84,1.34224,0.7025,1.14199,0.84944,0.76263,0.76976,0.44259,0.92916,0.61473,1.01589,0.00954743,0.00954743,0.00954743
18,3680.28,1.34296,0.69855,1.15008,0.84891,0.73159,0.75292,0.44188,0.92912,0.60926,1.00224,0.00951914,0.00951914,0.00951914
19,3883.42,1.33407,0.69159,1.14553,0.80994,0.76901,0.77729,0.44714,0.93477,0.64089,1.01216,0.00949086,0.00949086,0.00949086
20,4086.17,1.33956,0.69226,1.14666,0.84051,0.75371,0.79603,0.44818,0.91307,0.58578,0.9958,0.00946257,0.00946257,0.00946257
21,4288.83,1.32422,0.69218,1.14362,0.77328,0.82457,0.83873,0.47307,0.91423,0.59012,0.99963,0.00943429,0.00943429,0.00943429
22,4492.66,1.32209,0.69123,1.13044,0.82532,0.75532,0.81558,0.46958,0.91835,0.60202,1.00489,0.009406,0.009406,0.009406
23,4695.03,1.3141,0.68867,1.13623,0.775,0.80223,0.84036,0.47695,0.94482,0.73801,1.02248,0.00937771,0.00937771,0.00937771
24,4898.21,1.31864,0.68006,1.13709,0.78815,0.73771,0.77731,0.44769,0.89258,0.65513,0.9919,0.00934943,0.00934943,0.00934943
25,5101.01,1.30933,0.67035,1.13353,0.77983,0.7995,0.80284,0.46346,0.88967,0.6287,0.99105,0.00932114,0.00932114,0.00932114
26,5304.48,1.30175,0.66982,1.12844,0.83063,0.79703,0.82712,0.48085,0.89227,0.57593,0.99047,0.00929286,0.00929286,0.00929286
27,5507.54,1.30796,0.6708,1.12657,0.8226,0.78242,0.84665,0.49828,0.88399,0.56046,0.98816,0.00926457,0.00926457,0.00926457
28,5711.08,1.31426,0.67228,1.12842,0.87181,0.75354,0.83531,0.48621,0.87466,0.58702,0.98403,0.00923629,0.00923629,0.00923629
29,5914.61,1.30468,0.66459,1.12823,0.73795,0.81462,0.82779,0.47982,0.88367,0.57639,0.98214,0.009208,0.009208,0.009208
30,6117.41,1.30921,0.66779,1.12694,0.77869,0.8276,0.84554,0.49825,0.87333,0.58353,0.98262,0.00917971,0.00917971,0.00917971
31,6319.89,1.30224,0.66728,1.12085,0.80116,0.80254,0.85381,0.50882,0.86926,0.57426,0.98117,0.00915143,0.00915143,0.00915143
32,6522.92,1.27727,0.66053,1.12081,0.7825,0.80373,0.842,0.49664,0.85979,0.57785,0.97377,0.00912314,0.00912314,0.00912314
33,6726,1.28067,0.65772,1.11392,0.79161,0.82764,0.84169,0.49822,0.87181,0.62681,0.9819,0.00909486,0.00909486,0.00909486
34,6928.65,1.27619,0.65431,1.1164,0.87345,0.7488,0.82267,0.49093,0.85829,0.5676,0.97302,0.00906657,0.00906657,0.00906657
35,7131.31,1.28476,0.66113,1.12286,0.85405,0.7673,0.84542,0.50756,0.85378,0.55343,0.97284,0.00903829,0.00903829,0.00903829
36,7335.11,1.27336,0.65277,1.11346,0.76932,0.80758,0.82253,0.49379,0.85292,0.57455,0.97278,0.00901,0.00901,0.00901
37,7538.02,1.27126,0.64872,1.111,0.80518,0.77512,0.82431,0.49142,0.87481,0.57534,0.9772,0.00898171,0.00898171,0.00898171
38,7741.08,1.26597,0.65003,1.11405,0.78031,0.83223,0.85896,0.50452,0.87188,0.53876,0.97746,0.00895343,0.00895343,0.00895343
39,7944.07,1.27312,0.6446,1.11087,0.78723,0.81783,0.84066,0.50162,0.84939,0.55815,0.97147,0.00892514,0.00892514,0.00892514
40,8147.51,1.26817,0.63831,1.11242,0.80489,0.85987,0.85191,0.51193,0.84819,0.57313,0.96869,0.00889686,0.00889686,0.00889686
41,8350.43,1.27373,0.64123,1.11417,0.8029,0.82786,0.86248,0.51753,0.84472,0.55442,0.96838,0.00886857,0.00886857,0.00886857
42,8553.95,1.26637,0.63823,1.11684,0.7835,0.81921,0.85523,0.50957,0.84645,0.53798,0.96845,0.00884029,0.00884029,0.00884029
43,8756.94,1.26274,0.64091,1.10678,0.79052,0.84318,0.85933,0.5174,0.85581,0.53653,0.97208,0.008812,0.008812,0.008812
44,8960.92,1.26753,0.64339,1.11015,0.78637,0.85384,0.84353,0.50388,0.85327,0.55432,0.97223,0.00878371,0.00878371,0.00878371
45,9163.7,1.24932,0.638,1.10578,0.80333,0.82993,0.86825,0.52384,0.83633,0.5414,0.96533,0.00875543,0.00875543,0.00875543
46,9367.42,1.25855,0.62695,1.10447,0.80574,0.82446,0.85339,0.51574,0.83409,0.53945,0.96339,0.00872714,0.00872714,0.00872714
47,9572.07,1.25911,0.62983,1.10183,0.81455,0.81686,0.86966,0.52644,0.83366,0.5383,0.96709,0.00869886,0.00869886,0.00869886
48,9774.44,1.23337,0.63111,1.10694,0.77831,0.8402,0.85648,0.51412,0.83814,0.54699,0.96683,0.00867057,0.00867057,0.00867057
49,9977.71,1.25879,0.63546,1.10222,0.77194,0.85392,0.85537,0.51379,0.82825,0.54149,0.96144,0.00864229,0.00864229,0.00864229
50,10182.2,1.2457,0.62592,1.09912,0.78494,0.83009,0.86472,0.52912,0.83152,0.54767,0.96485,0.008614,0.008614,0.008614
51,10385.9,1.24284,0.62283,1.104,0.77078,0.83313,0.84449,0.50947,0.84206,0.54842,0.96788,0.00858571,0.00858571,0.00858571
52,10589.5,1.24777,0.62821,1.10659,0.78249,0.84789,0.85728,0.51957,0.82335,0.53568,0.96135,0.00855743,0.00855743,0.00855743
53,10792.3,1.23852,0.62038,1.10232,0.88019,0.7634,0.86396,0.52961,0.82794,0.51943,0.96221,0.00852914,0.00852914,0.00852914
54,10994.4,1.23498,0.61805,1.09973,0.86748,0.76397,0.86502,0.52771,0.82912,0.53572,0.96392,0.00850086,0.00850086,0.00850086
55,11197.3,1.23217,0.62148,1.10225,0.8158,0.82051,0.86621,0.52626,0.82798,0.52017,0.96468,0.00847257,0.00847257,0.00847257
56,11399.5,1.22793,0.62046,1.10095,0.79176,0.84659,0.86577,0.52615,0.833,0.54326,0.96751,0.00844429,0.00844429,0.00844429
57,11603,1.22349,0.61831,1.0931,0.78005,0.82488,0.86622,0.52987,0.81886,0.52221,0.96124,0.008416,0.008416,0.008416
58,11805.9,1.23016,0.62147,1.09435,0.88281,0.75525,0.86055,0.52654,0.81262,0.52366,0.95723,0.00838771,0.00838771,0.00838771
59,12010.3,1.23523,0.60757,1.09391,0.78851,0.82645,0.85717,0.53063,0.81263,0.51421,0.95705,0.00835943,0.00835943,0.00835943
60,12212.6,1.2323,0.62155,1.1,0.79225,0.82161,0.85467,0.52336,0.8263,0.53187,0.96217,0.00833114,0.00833114,0.00833114
61,12415.1,1.22233,0.61938,1.10128,0.79129,0.82674,0.86494,0.53445,0.81354,0.52598,0.95775,0.00830286,0.00830286,0.00830286
62,12618.2,1.22616,0.61311,1.09398,0.78493,0.82606,0.86046,0.53339,0.81657,0.53097,0.95675,0.00827457,0.00827457,0.00827457
63,12821,1.21108,0.61571,1.0957,0.8026,0.84269,0.86887,0.53244,0.81565,0.52346,0.9586,0.00824629,0.00824629,0.00824629
64,13023.8,1.21951,0.6029,1.09345,0.80602,0.84501,0.87483,0.53692,0.81437,0.50942,0.95868,0.008218,0.008218,0.008218
65,13226.1,1.21761,0.61553,1.09876,0.80889,0.81191,0.86074,0.53807,0.80954,0.51371,0.95566,0.00818971,0.00818971,0.00818971
66,13428.4,1.21901,0.60745,1.09538,0.78894,0.82247,0.86751,0.53824,0.80842,0.51707,0.95547,0.00816143,0.00816143,0.00816143
67,13631.1,1.21434,0.60597,1.0917,0.79443,0.83597,0.87573,0.54101,0.81269,0.51158,0.95737,0.00813314,0.00813314,0.00813314
68,13833.4,1.21873,0.61712,1.09954,0.79451,0.83381,0.87315,0.54132,0.80476,0.51549,0.95405,0.00810486,0.00810486,0.00810486
69,14037,1.22431,0.61229,1.09371,0.78281,0.8533,0.87811,0.54462,0.80136,0.50917,0.94977,0.00807657,0.00807657,0.00807657
70,14239.8,1.21361,0.60723,1.08952,0.79315,0.86075,0.87543,0.53753,0.80329,0.51396,0.95364,0.00804829,0.00804829,0.00804829
71,14442.5,1.20682,0.60196,1.09127,0.81722,0.8594,0.88432,0.54297,0.79933,0.50846,0.95406,0.00802,0.00802,0.00802
72,14644.5,1.20589,0.60568,1.09217,0.79776,0.8437,0.86924,0.53838,0.80723,0.5122,0.95416,0.00799171,0.00799171,0.00799171
73,14848,1.19597,0.60102,1.09699,0.80344,0.85472,0.87438,0.5409,0.80488,0.5109,0.95546,0.00796343,0.00796343,0.00796343
74,15051.2,1.21886,0.60506,1.09534,0.78648,0.84842,0.87546,0.54432,0.79622,0.50159,0.9522,0.00793514,0.00793514,0.00793514
75,15254.9,1.19727,0.5972,1.09041,0.79313,0.86225,0.88352,0.54976,0.79504,0.5056,0.95114,0.00790686,0.00790686,0.00790686
76,15457.9,1.21063,0.61048,1.09229,0.79455,0.84713,0.87692,0.54424,0.80053,0.50551,0.95094,0.00787857,0.00787857,0.00787857
77,15661,1.20416,0.59797,1.08602,0.77804,0.86805,0.87574,0.54541,0.79655,0.50337,0.95155,0.00785029,0.00785029,0.00785029
78,15863.8,1.19203,0.59873,1.08502,0.79406,0.84426,0.87436,0.54445,0.79269,0.49904,0.95053,0.007822,0.007822,0.007822
79,16067,1.20748,0.60162,1.09074,0.79583,0.8353,0.87185,0.5424,0.79516,0.51238,0.95014,0.00779371,0.00779371,0.00779371
80,16269.7,1.19736,0.60355,1.08452,0.78723,0.82653,0.86566,0.53996,0.79406,0.50987,0.95065,0.00776543,0.00776543,0.00776543
81,16472.6,1.20326,0.59917,1.08348,0.78928,0.82905,0.87191,0.54396,0.79313,0.50371,0.94986,0.00773714,0.00773714,0.00773714
82,16675.1,1.18091,0.58433,1.08093,0.77918,0.84109,0.87093,0.54389,0.79029,0.50514,0.94894,0.00770886,0.00770886,0.00770886
83,16877.2,1.20512,0.60077,1.0845,0.77468,0.84334,0.86687,0.54334,0.79279,0.50288,0.94959,0.00768057,0.00768057,0.00768057
84,17080.5,1.19181,0.59938,1.08725,0.78273,0.8412,0.87653,0.54709,0.78482,0.50101,0.94811,0.00765229,0.00765229,0.00765229
85,17283.2,1.20396,0.59978,1.08787,0.79132,0.82968,0.8691,0.54266,0.78563,0.5028,0.94745,0.007624,0.007624,0.007624
86,17486.3,1.18669,0.59871,1.07501,0.7919,0.82802,0.87033,0.54542,0.78193,0.50717,0.9463,0.00759571,0.00759571,0.00759571
87,17689.8,1.20215,0.60089,1.08414,0.78453,0.82939,0.87503,0.54824,0.78047,0.50364,0.94514,0.00756743,0.00756743,0.00756743
88,17891.7,1.18413,0.59363,1.08353,0.78093,0.82777,0.87228,0.54741,0.78372,0.49807,0.94664,0.00753914,0.00753914,0.00753914
89,18094.5,1.18878,0.58789,1.07974,0.79314,0.83312,0.87339,0.54826,0.78246,0.50109,0.94759,0.00751086,0.00751086,0.00751086
90,18297.2,1.17534,0.59394,1.07303,0.79187,0.83689,0.87608,0.5499,0.7817,0.50292,0.9478,0.00748257,0.00748257,0.00748257
91,18499.9,1.18249,0.58615,1.07814,0.7844,0.84741,0.87904,0.55024,0.78418,0.50435,0.94838,0.00745429,0.00745429,0.00745429
92,18702,1.19409,0.59546,1.08439,0.79964,0.832,0.87671,0.54776,0.78558,0.50388,0.94751,0.007426,0.007426,0.007426
93,18905.4,1.17679,0.59279,1.07948,0.79947,0.83833,0.87462,0.54864,0.78307,0.5044,0.94628,0.00739771,0.00739771,0.00739771
94,19107.6,1.17724,0.58857,1.07631,0.7861,0.83813,0.86993,0.54981,0.78258,0.50204,0.94652,0.00736943,0.00736943,0.00736943
95,19309.7,1.1805,0.58329,1.07622,0.77941,0.84097,0.86924,0.54858,0.78271,0.50396,0.94627,0.00734114,0.00734114,0.00734114
