epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.217,1.02643,0.515,1.01688,0.85181,0.83559,0.87601,0.56071,0.75313,0.504,0.94028,0.00332569,0.00332569,0.00332569
2,432.279,1.04331,0.53224,1.02672,0.86198,0.83222,0.88086,0.55372,0.76364,0.50613,0.94221,0.00664019,0.00664019,0.00664019
3,636.319,1.07571,0.54811,1.04336,0.84352,0.83654,0.864,0.53446,0.81866,0.52872,0.95794,0.00993583,0.00993583,0.00993583
4,838.869,1.12892,0.57333,1.06064,0.83128,0.8362,0.85745,0.51836,0.8355,0.61465,0.97667,0.00991514,0.00991514,0.00991514
5,1042.61,1.15056,0.58912,1.06181,0.76992,0.82791,0.86325,0.51419,0.8434,1.61259,0.97005,0.00988686,0.00988686,0.00988686
6,1246.26,1.14311,0.58158,1.06298,0.84758,0.83407,0.87849,0.54003,0.821,0.54113,0.96417,0.00985857,0.00985857,0.00985857
7,1450.56,1.14172,0.58667,1.05884,0.84191,0.83494,0.87295,0.52604,0.83932,0.57398,0.97095,0.00983029,0.00983029,0.00983029
8,1654.94,1.14926,0.57967,1.06824,0.86761,0.81162,0.87648,0.5322,0.81878,0.53593,0.95847,0.009802,0.009802,0.009802
9,1858.06,1.1452,0.58249,1.06284,0.83203,0.84113,0.87765,0.53188,0.8106,0.53465,0.95314,0.00977371,0.00977371,0.00977371
10,2062.72,1.1561,0.5862,1.07136,0.82912,0.82094,0.85285,0.51889,0.81309,0.63795,0.96112,0.00974543,0.00974543,0.00974543
11,2266.47,1.15291,0.59103,1.0671,0.85159,0.82397,0.87225,0.53353,0.81047,0.53632,0.95357,0.00971714,0.00971714,0.00971714
12,2470.61,1.14429,0.58646,1.0702,0.84288,0.83019,0.88838,0.52883,0.83156,0.51715,0.97365,0.00968886,0.00968886,0.00968886
13,2674.77,1.15113,0.58853,1.06673,0.82313,0.83555,0.87804,0.53831,0.81026,0.51709,0.95799,0.00966057,0.00966057,0.00966057
14,2878.5,1.1446,0.58055,1.06553,0.85024,0.83052,0.8729,0.54278,0.80461,0.54734,0.95278,0.00963229,0.00963229,0.00963229
15,3082.89,1.1511,0.58979,1.06882,0.82602,0.82284,0.86573,0.52715,0.811,0.56016,0.96525,0.009604,0.009604,0.009604
16,3286.24,1.14538,0.59651,1.06802,0.84298,0.82225,0.8657,0.52963,0.80211,0.53063,0.95346,0.00957571,0.00957571,0.00957571
17,3490.34,1.14075,0.58304,1.06002,0.80054,0.82398,0.84611,0.52021,0.79591,0.55881,0.95495,0.00954743,0.00954743,0.00954743
18,3693.55,1.14054,0.58095,1.06569,0.82799,0.81782,0.86213,0.52675,0.80286,0.52261,0.95849,0.00951914,0.00951914,0.00951914
19,3897.29,1.14211,0.57974,1.06251,0.84085,0.83318,0.87599,0.53543,0.80504,0.53989,0.95977,0.00949086,0.00949086,0.00949086
20,4101.16,1.14687,0.58181,1.06507,0.83299,0.8371,0.87214,0.536,0.80263,0.52748,0.95881,0.00946257,0.00946257,0.00946257
21,4306.17,1.14016,0.58488,1.06291,0.86624,0.838,0.8838,0.5354,0.80273,0.51483,0.956,0.00943429,0.00943429,0.00943429
22,4509.71,1.13324,0.58033,1.05215,0.84957,0.82952,0.8851,0.54147,0.80717,0.52892,0.95728,0.009406,0.009406,0.009406
23,4713.2,1.13342,0.5815,1.06101,0.8083,0.82944,0.88037,0.53517,0.80178,0.5082,0.95545,0.00937771,0.00937771,0.00937771
24,4917.07,1.14673,0.58189,1.06755,0.76061,0.86179,0.86629,0.53111,0.79855,0.52912,0.95412,0.00934943,0.00934943,0.00934943
25,5120.84,1.13235,0.57444,1.06161,0.83194,0.83731,0.87251,0.53825,0.79403,0.51092,0.95337,0.00932114,0.00932114,0.00932114
26,5325.54,1.1316,0.57449,1.05598,0.85124,0.83033,0.87859,0.54063,0.8029,0.52422,0.95875,0.00929286,0.00929286,0.00929286
27,5529.27,1.13387,0.58072,1.05559,0.84178,0.84138,0.88411,0.55038,0.7882,0.53762,0.94946,0.00926457,0.00926457,0.00926457
28,5733.78,1.15008,0.58721,1.05986,0.82309,0.82306,0.87818,0.5487,0.78824,0.52212,0.9468,0.00923629,0.00923629,0.00923629
29,5937.48,1.1395,0.58334,1.06221,0.84991,0.82922,0.88343,0.54329,0.79069,0.50179,0.94851,0.009208,0.009208,0.009208
30,6140.87,1.13923,0.58121,1.05822,0.84387,0.83848,0.88198,0.54424,0.79758,0.51428,0.95257,0.00917971,0.00917971,0.00917971
31,6344.19,1.14989,0.5882,1.05748,0.85091,0.82804,0.87527,0.54095,0.79418,0.53027,0.95206,0.00915143,0.00915143,0.00915143
32,6548.01,1.1224,0.57978,1.05656,0.86949,0.82584,0.86707,0.536,0.78484,0.52173,0.95165,0.00912314,0.00912314,0.00912314
33,6751.46,1.13261,0.57834,1.05445,0.86249,0.83031,0.87541,0.54536,0.79431,0.53471,0.95312,0.00909486,0.00909486,0.00909486
34,6955.55,1.12251,0.57743,1.05292,0.83294,0.83073,0.8734,0.54078,0.78484,0.52472,0.95509,0.00906657,0.00906657,0.00906657
